stt,school_name,school_id,location,school_type,ownership,website_url
122,TRƯỜNG ĐẠI HỌC FULBRIGHT VIỆT NAM,FUV,TP. Hồ Chí Minh,Trường đại học,Nước ngoài,
123,TRƯỜNG ĐẠI HỌC GIA ĐỊNH,DCG,TP. Hồ Chí Minh,Trường đại học,Tư thục,
124,TRƯỜNG ĐẠI HỌC GIÁO DỤC - ĐẠI HỌC QUỐC GIA HÀ NỘI,QHS,Hà Nội,Trường đại học,Công lập,
125,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI,GHA,Hà Nội,Trường đại học,Công lập,
126,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH,GTS,TP. Hồ Chí Minh,Trường đại học,Công lập,
127,TRƯỜNG ĐẠI HỌC HÀ HOA TIÊN,DHH,Hà Nam,Trường đại học,Tư thục,
128,TRƯỜNG ĐẠI HỌC HẠ LONG,HLU,Quảng Ninh,Trường đại học,Công lập,
129,TRƯỜNG ĐẠI HỌC HÀ NỘI,NHF,Hà Nội,Trường đại học,Công lập,
130,TRƯỜNG ĐẠI HỌC HÀ TĨNH,HHT,Hà Tĩnh,Trường đại học,Công lập,
131,TRƯỜNG ĐẠI HỌC HẢI DƯƠNG,DKT,Hải Dương,Trường đại học,Công lập,
132,TRƯỜNG ĐẠI HỌC HẢI PHÒNG,THP,Hải Phòng,Trường đại học,Công lập,
133,TRƯỜNG ĐẠI HỌC HÀNG HẢI VIỆT NAM,HHA,Hải Phòng,Trường đại học,Công lập,
134,TRƯỜNG ĐẠI HỌC HOÀ BÌNH,ETU,Hà Nội,Trường đại học,Tư thục,
135,TRƯỜNG ĐẠI HỌC HOA LƯ,DNB,Ninh Bình,Trường đại học,Công lập,
136,TRƯỜNG ĐẠI HỌC HOA SEN,HSU,TP. Hồ Chí Minh,Trường đại học,Tư thục,
137,TRƯỜNG ĐẠI HỌC HỒNG ĐỨC,HDT,Thanh Hóa,Trường đại học,Công lập,
138,TRƯỜNG ĐẠI HỌC HÙNG VƯƠNG,THV,Phú Thọ,Trường đại học,Công lập,
139,TRƯỜNG ĐẠI HỌC HÙNG VƯƠNG - TP. HỒ CHÍ MINH,DHV,TP. Hồ Chí Minh,Trường đại học,Tư thục,
140,TRƯỜNG ĐẠI HỌC KIỂM SÁT HÀ NỘI,DKS,Hà Nội,Trường đại học,Công lập,
141,TRƯỜNG ĐẠI HỌC KIẾN TRÚC ĐÀ NẴNG,KTD,Đà Nẵng,Trường đại học,Tư thục,
142,TRƯỜNG ĐẠI HỌC KIẾN TRÚC HÀ NỘI,KTA,Hà Nội,Trường đại học,Công lập,
143,TRƯỜNG ĐẠI HỌC KIẾN TRÚC TP. HỒ CHÍ MINH,KTS,TP. Hồ Chí Minh,Trường đại học,Công lập,
144,TRƯỜNG ĐẠI HỌC KIÊN GIANG,TKG,Kiên Giang,Trường đại học,Công lập,
145,TRƯỜNG ĐẠI HỌC KINH BẮC,UKB,Bắc Ninh,Trường đại học,Tư thục,
146,TRƯỜNG ĐẠI HỌC KINH DOANH VÀ CÔNG NGHỆ HÀ NỘI,DQK,Hà Nội,Trường đại học,Tư thục,
147,TRƯỜNG ĐẠI HỌC KINH TẾ - CÔNG NGHỆ THÁI NGUYÊN,DVB,Thái Nguyên,Trường đại học,Tư thục,
148,TRƯỜNG ĐẠI HỌC KINH TẾ - ĐẠI HỌC QUỐC GIA HÀ NỘI,QHE,Hà Nội,Trường đại học,Công lập,
149,TRƯỜNG ĐẠI HỌC KINH TẾ - KỸ THUẬT BÌNH DƯƠNG,DKB,Bình Dương,Trường đại học,Tư thục,
150,TRƯỜNG ĐẠI HỌC KINH TẾ - LUẬT - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,QSK,TP. Hồ Chí Minh,Trường đại học,Công lập,
151,TRƯỜNG ĐẠI HỌC KINH TẾ - TÀI CHÍNH TP. HỒ CHÍ MINH,UEF,TP. Hồ Chí Minh,Trường đại học,Tư thục,
152,TRƯỜNG ĐẠI HỌC KINH TẾ CÔNG NGHIỆP LONG AN,DLA,Long An,Trường đại học,Tư thục,
153,TRƯỜNG ĐẠI HỌC KINH TẾ KỸ THUẬT CÔNG NGHIỆP,DKK,Nam Định,Trường đại học,Công lập,
154,TRƯỜNG ĐẠI HỌC KINH TẾ NGHỆ AN,CEA,Nghệ An,Trường đại học,Công lập,
155,TRƯỜNG ĐẠI HỌC KINH TẾ QUỐC DÂN,KHA,Hà Nội,Trường đại học,Công lập,
156,"TRƯỜNG ĐẠI HỌC KINH TẾ VÀ QUẢN TRỊ KINH DOANH, ĐẠI HỌC THÁI NGUYÊN",DTE,Thái Nguyên,Trường đại học,Công lập,
157,"TRƯỜNG ĐẠI HỌC KINH TẾ, ĐẠI HỌC HUẾ",DHK,Thừa Thiên Huế,Trường đại học,Công lập,
158,TRƯỜNG ĐẠI HỌC KỸ THUẬT - CÔNG NGHỆ CẦN THƠ,KCC,Cần Thơ,Trường đại học,Công lập,
159,"TRƯỜNG ĐẠI HỌC KỸ THUẬT CÔNG NGHIỆP, ĐẠI HỌC THÁI NGUYÊN",DTK,Thái Nguyên,Trường đại học,Công lập,
160,TRƯỜNG ĐẠI HỌC KỸ THUẬT Y - DƯỢC ĐÀ NẴNG,YDN,Đà Nẵng,Trường đại học,Công lập,
161,TRƯỜNG ĐẠI HỌC KỸ THUẬT Y TẾ HẢI DƯƠNG,DKY,Hải Dương,Trường đại học,Công lập,
162,TRƯỜNG ĐẠI HỌC KHÁNH HOÀ,UKH,Khánh Hoà,Trường đại học,Công lập,
163,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QUỐC GIA HÀ NỘI,QHT,Hà Nội,Trường đại học,Công lập,
164,TRƯỜNG ĐẠI HỌC KHOA HỌC TỰ NHIÊN - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,QST,TP. Hồ Chí Minh,Trường đại học,Công lập,
165,TRƯỜNG ĐẠI HỌC KHOA HỌC VÀ CÔNG NGHỆ HÀ NỘI,KCN,Hà Nội,Trường đại học,Công lập,
166,TRƯỜNG ĐẠI HỌC KHOA HỌC XÃ HỘI VÀ NHÂN VĂN - ĐẠI HỌC QUỐC GIA HÀ NỘI,QHX,Hà Nội,Trường đại học,Công lập,
167,TRƯỜNG ĐẠI HỌC KHOA HỌC XÃ HỘI VÀ NHÂN VĂN - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,QSX,TP. Hồ Chí Minh,Trường đại học,Công lập,
168,"TRƯỜNG ĐẠI HỌC KHOA HỌC, ĐẠI HỌC HUẾ",DHT,Thừa Thiên Huế,Trường đại học,Công lập,
169,"TRƯỜNG ĐẠI HỌC KHOA HỌC, ĐẠI HỌC THÁI NGUYÊN",DTZ,Thái Nguyên,Trường đại học,Công lập,
170,TRƯỜNG ĐẠI HỌC LẠC HỒNG,DLH,Đồng Nai,Trường đại học,Tư thục,
171,TRƯỜNG ĐẠI HỌC LAO ĐỘNG - XÃ HỘI,DLX,Hà Nội,Trường đại học,Công lập,
172,TRƯỜNG ĐẠI HỌC LÂM NGHIỆP,LNH,Hà Nội,Trường đại học,Công lập,
173,TRƯỜNG ĐẠI HỌC LUẬT - ĐẠI HỌC QUỐC GIA HÀ NỘI,QHL,Hà Nội,Trường đại học,Công lập,
174,TRƯỜNG ĐẠI HỌC LUẬT HÀ NỘI,LPH,Hà Nội,Trường đại học,Công lập,
175,TRƯỜNG ĐẠI HỌC LUẬT TP. HỒ CHÍ MINH,LPS,TP. Hồ Chí Minh,Trường đại học,Công lập,
176,"TRƯỜNG ĐẠI HỌC LUẬT, ĐẠI HỌC HUẾ",DHA,Thừa Thiên Huế,Trường đại học,Công lập,
177,TRƯỜNG ĐẠI HỌC LƯƠNG THẾ VINH,DTV,Nam Định,Trường đại học,Tư thục,
178,TRƯỜNG ĐẠI HỌC MỎ - ĐỊA CHẤT,MDA,Hà Nội,Trường đại học,Công lập,
179,TRƯỜNG ĐẠI HỌC MỞ HÀ NỘI,MHN,Hà Nội,Trường đại học,Công lập,
180,TRƯỜNG ĐẠI HỌC MỞ TP. HỒ CHÍ MINH,MBS,TP. Hồ Chí Minh,Trường đại học,Công lập,
181,TRƯỜNG ĐẠI HỌC MỸ TẠI VIỆT NAM,AUV,Đà Nẵng,Trường đại học,Nước ngoài,
182,TRƯỜNG ĐẠI HỌC MỸ THUẬT CÔNG NGHIỆP,MTC,Hà Nội,Trường đại học,Công lập,
183,TRƯỜNG ĐẠI HỌC MỸ THUẬT TP. HỒ CHÍ MINH,MTS,TP. Hồ Chí Minh,Trường đại học,Công lập,
184,TRƯỜNG ĐẠI HỌC MỸ THUẬT VIỆT NAM,MTH,Hà Nội,Trường đại học,Công lập,
185,TRƯỜNG ĐẠI HỌC NAM CẦN THƠ,DNC,Cần Thơ,Trường đại học,Tư thục,
186,TRƯỜNG ĐẠI HỌC NỘI VỤ HÀ NỘI,DNV,Hà Nội,Trường đại học,Công lập,
187,TRƯỜNG ĐẠI HỌC NÔNG LÂM BẮC GIANG,DBG,Bắc Giang,Trường đại học,Công lập,
188,TRƯỜNG ĐẠI HỌC NÔNG LÂM TP. HỒ CHÍ MINH,NLS,TP. Hồ Chí Minh,Trường đại học,Công lập,
189,"TRƯỜNG ĐẠI HỌC NÔNG LÂM, ĐẠI HỌC HUẾ",DHL,Thừa Thiên Huế,Trường đại học,Công lập,
